,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,atuona,-9.8,-139.03,26.57,79,43,6.14,PF,1592870433
88,riyadh,24.69,46.72,28.0,18,51,3.1,SA,1592869903
89,pringsewu,-5.36,104.97,23.02,92,91,0.53,ID,1592870433
90,rio gallegos,-51.62,-69.22,6.0,93,90,4.1,AR,1592870433
91,talnakh,69.49,88.4,13.0,71,81,6.0,RU,1592870433
92,bandarbeyla,9.49,50.81,27.38,67,35,10.17,SO,1592869895
93,hailar,49.2,119.7,14.7,72,100,7.33,CN,1592870434
94,tiarei,-17.53,-149.33,28.0,58,40,2.6,PF,1592869905
95,lagos,6.58,3.75,23.0,94,20,1.0,NG,1592870161
96,faanui,-16.48,-151.75,25.15,75,11,9.0,PF,1592870434
97,tuatapere,-46.13,167.68,3.89,83,65,1.34,NZ,1592870005
98,broome,42.25,-75.83,26.67,57,1,1.5,US,1592870434
99,shache,38.42,77.24,22.53,19,0,1.2,CN,1592870434
100,beyneu,45.32,55.2,24.23,20,9,4.01,KZ,1592870434
101,hami,42.8,93.45,21.85,20,0,5.68,CN,1592869910
102,gaya,24.78,85.0,28.49,76,5,3.53,IN,1592870288
103,pangani,-5.43,38.97,23.29,87,91,4.47,TZ,1592870434
104,kapit,2.02,112.93,24.17,94,100,0.35,MY,1592870434
105,new norfolk,-42.78,147.06,12.78,92,100,0.89,AU,1592870435
106,georgetown,5.41,100.34,25.0,100,20,1.81,MY,1592870414
107,saskylakh,71.92,114.08,26.79,36,7,2.49,RU,1592870435
108,mar del plata,-38.0,-57.56,11.67,93,83,1.0,AR,1592870400
109,te anau,-45.42,167.72,8.5,76,49,0.69,NZ,1592870435
110,kruisfontein,-34.0,24.73,10.75,68,0,1.89,ZA,1592870435
111,jamestown,42.1,-79.24,20.0,93,20,2.6,US,1592870183
112,qaqortoq,60.72,-46.03,16.0,48,10,6.2,GL,1592869893
113,ilulissat,69.22,-51.1,9.0,57,95,2.1,GL,1592870293
114,lasa,46.62,10.7,14.44,76,5,3.1,IT,1592869889
115,talcahuano,-36.72,-73.12,9.0,100,59,1.5,CL,1592870435
116,miles city,46.41,-105.84,26.0,31,1,5.7,US,1592870435
117,miranda,3.25,-76.23,27.0,61,40,4.1,CO,1592870435
118,vera cruz,-12.63,-41.03,18.4,93,44,1.82,BR,1592870435
119,kalmunai,7.42,81.82,27.84,76,100,1.26,LK,1592870436
120,cidreira,-30.18,-50.21,17.9,92,5,6.07,BR,1592870436
121,iqaluit,63.75,-68.51,12.0,54,20,6.2,CA,1592870436
122,ucluelet,48.93,-125.55,15.0,67,90,1.5,CA,1592870436
123,luderitz,-26.65,15.16,10.0,93,0,1.5,NA,1592870436
124,upernavik,72.79,-56.15,4.32,72,48,4.16,GL,1592869958
125,guerrero negro,27.98,-114.06,21.25,67,17,8.49,MX,1592870436
126,komsomolskiy,40.43,71.72,29.0,23,90,3.1,UZ,1592870436
127,camacha,33.08,-16.33,21.0,68,75,6.2,PT,1592870436
128,khatanga,71.97,102.5,28.14,27,84,5.8,RU,1592870437
129,bonthe,7.53,-12.51,25.45,87,98,2.77,SL,1592869911
130,nahrin,36.06,69.13,25.4,17,81,1.27,AF,1592870437
131,mahajanga,-15.72,46.32,21.0,73,0,1.5,MG,1592870437
132,tuktoyaktuk,69.45,-133.04,17.0,51,75,4.1,CA,1592870437
133,silver city,32.77,-108.28,34.0,9,1,5.7,US,1592870437
134,barrow,71.29,-156.79,2.0,74,90,6.2,US,1592870437
135,mount gambier,-37.83,140.77,12.0,100,90,4.6,AU,1592870437
136,tasiilaq,65.61,-37.64,11.0,72,4,3.1,GL,1592870437
137,garowe,8.41,48.48,28.68,44,73,8.98,SO,1592870437
138,rybinsk,58.04,38.84,10.22,87,0,0.92,RU,1592870437
139,bambanglipuro,-7.95,110.28,25.46,82,65,4.29,ID,1592870437
140,tailai,46.38,123.4,16.21,94,100,7.1,CN,1592870438
141,pisco,-13.7,-76.22,18.0,77,90,2.6,PE,1592870267
142,coquimbo,-29.95,-71.34,13.0,87,100,1.0,CL,1592870197
143,mount darwin,-16.77,31.58,11.14,59,0,1.69,ZW,1592870438
144,yar-sale,66.83,70.83,5.12,69,13,2.13,RU,1592870438
145,juneau,58.3,-134.42,15.0,71,90,1.5,US,1592869913
146,bronte,37.79,14.83,21.11,68,63,3.1,IT,1592870154
147,puerto rondon,6.28,-71.1,22.98,95,100,2.05,CO,1592870438
148,paeroa,-37.37,175.67,16.11,68,16,5.36,NZ,1592870439
149,mayo,38.89,-76.51,25.0,78,75,2.6,US,1592870439
150,dingle,11.0,122.67,28.7,75,97,1.31,PH,1592870167
151,fleet,51.28,-0.83,14.0,82,0,4.6,GB,1592870439
152,puerto ayora,-0.74,-90.35,21.67,92,40,3.13,EC,1592870439
153,port lavaca,28.61,-96.63,31.0,79,40,8.7,US,1592870439
154,san antonio,29.42,-98.49,36.0,49,20,8.7,US,1592870400
155,tiksi,71.69,128.87,8.79,66,9,1.45,RU,1592870439
156,port alfred,-33.59,26.89,15.0,58,0,2.24,ZA,1592870439
157,saint-philippe,-21.36,55.77,19.0,77,37,1.5,RE,1592870162
158,quatre cocos,-20.21,57.76,22.0,78,75,1.5,MU,1592870439
159,kasongo,-4.45,26.67,24.63,41,72,0.24,CD,1592870440
160,tatawin,32.93,10.45,24.0,41,0,1.5,TN,1592870440
161,kampot,10.62,104.18,26.0,94,20,1.0,KH,1592870440
162,dillon,34.42,-79.37,30.56,62,1,2.1,US,1592870440
163,dustlik,40.52,68.04,23.72,31,53,2.39,UZ,1592870440
164,kropotkin,45.44,40.58,19.33,87,95,1.67,RU,1592870440
165,nikolskoye,59.7,30.79,12.0,76,0,0.39,RU,1592870440
166,bubaque,11.28,-15.83,27.69,83,38,5.94,GW,1592869889
167,lodwar,3.12,35.6,27.74,55,0,2.76,KE,1592870414
168,tanout,14.97,8.89,31.87,15,3,3.14,NE,1592870266
169,cabo san lucas,22.89,-109.91,30.0,51,5,3.1,MX,1592870440
170,henties bay,-22.12,14.28,16.0,56,0,1.17,NA,1592870440
171,surgut,61.25,73.42,9.0,100,20,2.0,RU,1592870441
172,gilgit,35.92,74.31,24.75,30,0,1.83,PK,1592870389
173,sao borja,-28.66,-56.0,22.08,70,56,5.05,BR,1592870441
174,araouane,18.9,-3.53,35.77,11,1,2.53,ML,1592870441
175,pangody,65.85,74.49,7.03,75,96,3.09,RU,1592870441
176,maarianhamina,60.1,19.93,9.0,100,95,1.5,AX,1592870441
177,havre-saint-pierre,50.23,-63.6,15.0,87,1,2.1,CA,1592870219
178,castro,-24.79,-50.01,14.48,87,28,1.88,BR,1592870441
179,udayagiri,20.13,84.38,21.77,92,86,0.57,IN,1592870441
180,kahului,20.89,-156.47,33.0,36,40,10.3,US,1592869897
181,yulara,-25.24,130.99,7.0,70,0,4.1,AU,1592870441
182,yellowknife,62.46,-114.35,23.33,28,40,7.7,CA,1592870441
